Designator,Footprint,Quantity,Value,LCSC Part #
C9,0805,1,0.1uf 0805,
"D_100, D_101, D_102, D_103, D_104, D_105, D_106, D_107, D_108, D_109, D_110, D_111, D_112, D_113, D_114, D_115, D_116, D_117, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_69, D_70, D_71, D_72, D_73, D_74, D_75, D_76, D_77, D_78, D_79, D_80, D_81, D_82, D_83, D_84, D_85, D_86, D_87, D_88, D_89, D_90, D_91, D_92, D_93, D_94, D_95, D_96, D_97, D_98, D_99",D_SOD-123,106,1N4148W,
"H1, H10, H11, H12, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_2.2mm_M2_Pad-Mod,12,MountingHole,
J5,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03_Male, 
"K_100, K_101, K_102, K_103, K_104, K_104B1, K_105, K_105B1, K_106, K_106B1, K_107, K_107B1, K_108, K_108C1, K_109, K_110, K_111, K_112, K_113, K_114, K_115, K_116, K_12, K_13, K_14, K_15, K_16, K_17, K_18, K_19, K_20, K_21, K_22, K_23, K_24, K_25, K_26, K_27, K_28, K_29, K_30, K_31, K_32, K_33, K_34, K_35, K_36, K_37, K_38, K_39, K_40, K_41, K_42, K_43, K_44, K_45, K_46, K_47, K_48, K_49, K_50, K_51, K_52, K_53, K_54, K_55, K_56, K_57, K_58, K_59, K_60, K_61, K_62, K_63, K_64, K_65, K_66, K_67, K_68, K_69, K_70, K_70B1, K_71, K_72, K_73, K_74, K_75, K_76, K_77, K_78, K_79, K_80, K_81, K_82, K_83, K_84, K_85, K_86, K_87, K_88, K_89, K_90, K_91, K_92, K_93, K_94, K_95, K_96, K_97, K_98, K_99, K_ANSI_1, K_ANSI_2, K_ANSI_3",MXOnly-1U-NoLED,114,KEYSW,
"R5, R6",0805,2,5.1K 0805, 
R8,0805,1,330r 0805,
"SW1, SW2",Panasonic_EVQPUL_EVQPUC,2,EVQP,
U2,PGA2040,1,PGA2040,
USB1,USB_C_TYPE-C-31-M-14,1,TYPE-C-31-M-14,C319148
"stab1, stab2, stab3, stab4, stab6, stab7, stab8, stab9",Stabilizer_Cherry_MX_2u,8,MountingHole,
stab101,Stabilizer_Cherry_MX_7u,1,MountingHole,
stab5,Stabilizer_Cherry_MX_6.25u,1,MountingHole,
