Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf 0603 6.3V,C_0603_1608Metric,402.500000,-58.900000,90.000000,bottom
C2,22pf 0402,C_0402_1005Metric,428.800000,-77.450000,180.000000,bottom
C3,1uf 0402,C_0402_1005Metric,423.575000,-61.400000,180.000000,bottom
C4,10uf 0402,C_0402_1005Metric,408.750000,-61.120000,90.000000,bottom
C5,100nf 0402,C_0402_1005Metric,426.825000,-58.875000,90.000000,bottom
C6,100nf 0402,C_0402_1005Metric,423.325000,-72.050000,180.000000,bottom
C7,100nf 0402,C_0402_1005Metric,426.825000,-60.950000,90.000000,bottom
C8,100nf 0402,C_0402_1005Metric,421.725000,-63.025000,180.000000,bottom
C10,1uf 0402,C_0402_1005Metric,421.725000,-62.025000,180.000000,bottom
C11,100nf 0402,C_0402_1005Metric,424.075000,-58.350000,180.000000,bottom
C13,100nf 0402,C_0402_1005Metric,432.000000,-63.700000,0.000000,bottom
C14,100nf 0402,C_0402_1005Metric,433.200000,-67.050000,0.000000,bottom
C15,100nf 0402,C_0402_1005Metric,432.000000,-62.750000,0.000000,bottom
C16,100nf 0402,C_0402_1005Metric,423.325000,-73.050000,180.000000,bottom
C17,10uf 0402,C_0402_1005Metric,428.500000,-56.725000,90.000000,bottom
C18,100nf 0402,C_0402_1005Metric,420.320000,-67.250000,180.000000,bottom
C19,22pf 0402,C_0402_1005Metric,424.550000,-74.750000,90.000000,bottom
CBP1,10uf 0402,C_0402_1005Metric,409.200000,-59.700000,0.000000,bottom
D1,1N4002W,D_SOD-123,401.800000,-61.600000,180.000000,bottom
D_12,SOD-123,D_SOD-123,55.650000,-63.075000,90.000000,bottom
D_13,SOD-123,D_SOD-123,93.750000,-63.080000,90.000000,bottom
D_14,SOD-123,D_SOD-123,112.800000,-63.080000,90.000000,bottom
D_15,SOD-123,D_SOD-123,131.850000,-63.080000,90.000000,bottom
D_16,SOD-123,D_SOD-123,150.900000,-63.080000,90.000000,bottom
D_17,SOD-123,D_SOD-123,179.475000,-63.080000,90.000000,bottom
D_18,SOD-123,D_SOD-123,198.525000,-63.080000,90.000000,bottom
D_19,SOD-123,D_SOD-123,217.575000,-63.080000,90.000000,bottom
D_20,SOD-123,D_SOD-123,236.625000,-63.080000,90.000000,bottom
D_21,SOD-123,D_SOD-123,265.200000,-63.080000,90.000000,bottom
D_22,SOD-123,D_SOD-123,284.250000,-63.080000,90.000000,bottom
D_23,SOD-123,D_SOD-123,303.300000,-63.080000,90.000000,bottom
D_24,SOD-123,D_SOD-123,322.350000,-63.080000,90.000000,bottom
D_25,SOD-123,D_SOD-123,346.162500,-61.575000,90.000000,bottom
D_26,SOD-123,D_SOD-123,365.212500,-61.575000,90.000000,bottom
D_27,SOD-123,D_SOD-123,384.262500,-61.575000,90.000000,bottom
D_28,SOD-123,D_SOD-123,55.650000,-91.150000,90.000000,bottom
D_29,SOD-123,D_SOD-123,74.700000,-91.150000,90.000000,bottom
D_30,SOD-123,D_SOD-123,93.750000,-91.150000,90.000000,bottom
D_31,SOD-123,D_SOD-123,112.800000,-91.150000,90.000000,bottom
D_32,SOD-123,D_SOD-123,131.850000,-91.150000,90.000000,bottom
D_33,SOD-123,D_SOD-123,150.900000,-91.150000,90.000000,bottom
D_34,SOD-123,D_SOD-123,169.950000,-91.150000,90.000000,bottom
D_35,SOD-123,D_SOD-123,189.000000,-91.150000,90.000000,bottom
D_36,SOD-123,D_SOD-123,208.050000,-91.150000,90.000000,bottom
D_37,SOD-123,D_SOD-123,227.100000,-91.150000,90.000000,bottom
D_38,SOD-123,D_SOD-123,246.150000,-91.150000,90.000000,bottom
D_39,SOD-123,D_SOD-123,265.200000,-91.150000,90.000000,bottom
D_40,SOD-123,D_SOD-123,284.250000,-91.150000,90.000000,bottom
D_41,SOD-123,D_SOD-123,313.100000,-91.150000,90.000000,bottom
D_42,SOD-123,D_SOD-123,346.162500,-91.150000,90.000000,bottom
D_43,SOD-123,D_SOD-123,365.212500,-91.150000,90.000000,bottom
D_44,SOD-123,D_SOD-123,384.262500,-91.150000,90.000000,bottom
D_45,SOD-123,D_SOD-123,408.075000,-91.150000,90.000000,bottom
D_46,SOD-123,D_SOD-123,427.125000,-91.150000,90.000000,bottom
D_47,SOD-123,D_SOD-123,446.175000,-91.150000,90.000000,bottom
D_48,SOD-123,D_SOD-123,461.950000,-93.600000,90.000000,bottom
D_49,SOD-123,D_SOD-123,65.175000,-110.200000,90.000000,bottom
D_50,SOD-123,D_SOD-123,84.225000,-110.200000,90.000000,bottom
